,type,prompt,q,prediction,gold,surprisal,int-grad
0,ita,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: topo attrici spingono il le
A: No

Q: Is this sentence grammatical? Yes or No: la maestra tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: professoressa la colpisce un giornale
A: No

Q: Is this sentence grammatical? Yes or No: una dottoressa legge capitolo un
A: No

Q: Is this sentence grammatical? Yes or No: topo attrice tocca un l
A: No

Q: Is this sentence grammatical? Yes or No: gli la leggono autori lettera
A: No

Q: Is this sentence grammatical? Yes or No: la professoressa calcia cappello un
A: No

Q: Is this sentence grammatical? Yes or No: le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: ragazza la beve un espresso
A: No

Q: Is this sentence grammatical? Yes or No: il gatto una spinge bottiglia
A: No

Q: Is this sentence grammatical? Yes or No: frappè dottoressa beve il la
A: ",frappè dottoressa beve il la,No,No,,0
1,ita,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: topo attrici spingono il le
A: No

Q: Is this sentence grammatical? Yes or No: cappello maestra tocca un la
A: No

Q: Is this sentence grammatical? Yes or No: professoressa la colpisce un giornale
A: No

Q: Is this sentence grammatical? Yes or No: una dottoressa legge capitolo un
A: No

Q: Is this sentence grammatical? Yes or No: l'attrice tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: gli la leggono autori lettera
A: No

Q: Is this sentence grammatical? Yes or No: la professoressa calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: ragazza la beve un espresso
A: No

Q: Is this sentence grammatical? Yes or No: il gatto una spinge bottiglia
A: No

Q: Is this sentence grammatical? Yes or No: scrittrici le leggono il poema
A: ",scrittrici le leggono il poema,No,No,,0
2,ita,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le attrici spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: la maestra tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: professoressa la colpisce un giornale
A: No

Q: Is this sentence grammatical? Yes or No: una dottoressa legge capitolo un
A: No

Q: Is this sentence grammatical? Yes or No: l'attrice tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: gli la leggono autori lettera
A: No

Q: Is this sentence grammatical? Yes or No: la professoressa calcia cappello un
A: No

Q: Is this sentence grammatical? Yes or No: le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: ragazza la beve un espresso
A: No

Q: Is this sentence grammatical? Yes or No: il gatto spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: gli uomini bevono il succo
A: ",gli uomini bevono il succo,No,Yes,,0
3,ita,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le attrici spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: cappello maestra tocca un la
A: No

Q: Is this sentence grammatical? Yes or No: la professoressa colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: una dottoressa legge capitolo un
A: No

Q: Is this sentence grammatical? Yes or No: l'attrice tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: gli la leggono autori lettera
A: No

Q: Is this sentence grammatical? Yes or No: la professoressa calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: ragazza la beve un espresso
A: No

Q: Is this sentence grammatical? Yes or No: il gatto una spinge bottiglia
A: No

Q: Is this sentence grammatical? Yes or No: le dottoresse spingono il pesce
A: ",le dottoresse spingono il pesce,No,Yes,,0
4,ita,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: topo attrici spingono il le
A: No

Q: Is this sentence grammatical? Yes or No: la maestra tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: professoressa la colpisce un giornale
A: No

Q: Is this sentence grammatical? Yes or No: una dottoressa legge capitolo un
A: No

Q: Is this sentence grammatical? Yes or No: topo attrice tocca un l
A: No

Q: Is this sentence grammatical? Yes or No: gli autori leggono la lettera
A: Yes

Q: Is this sentence grammatical? Yes or No: la professoressa calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: la ragazza beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: il gatto una spinge bottiglia
A: No

Q: Is this sentence grammatical? Yes or No: gesso dottoresse spingono il le
A: ",gesso dottoresse spingono il le,No,No,,0
5,ita,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le attrici spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: cappello maestra tocca un la
A: No

Q: Is this sentence grammatical? Yes or No: la professoressa colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: una dottoressa legge capitolo un
A: No

Q: Is this sentence grammatical? Yes or No: topo attrice tocca un l
A: No

Q: Is this sentence grammatical? Yes or No: gli la leggono autori lettera
A: No

Q: Is this sentence grammatical? Yes or No: la professoressa calcia cappello un
A: No

Q: Is this sentence grammatical? Yes or No: le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: la ragazza beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: il gatto spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: l'insegnante beve un tè
A: ",l'insegnante beve un tè,Yes,Yes,,0
6,ita,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le attrici spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: cappello maestra tocca un la
A: No

Q: Is this sentence grammatical? Yes or No: professoressa la colpisce un giornale
A: No

Q: Is this sentence grammatical? Yes or No: una dottoressa legge capitolo un
A: No

Q: Is this sentence grammatical? Yes or No: l'attrice tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: gli autori leggono la lettera
A: Yes

Q: Is this sentence grammatical? Yes or No: la professoressa calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: mangiano attrici le il pesce
A: No

Q: Is this sentence grammatical? Yes or No: ragazza la beve un espresso
A: No

Q: Is this sentence grammatical? Yes or No: il gatto spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: le ragazze giocattolo il calciano
A: ",le ragazze giocattolo il calciano,No,No,,0
7,ita,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le attrici spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: la maestra tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: la professoressa colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: una dottoressa legge capitolo un
A: No

Q: Is this sentence grammatical? Yes or No: l'attrice tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: gli la leggono autori lettera
A: No

Q: Is this sentence grammatical? Yes or No: la professoressa calcia cappello un
A: No

Q: Is this sentence grammatical? Yes or No: le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: la ragazza beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: il gatto spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: calciano attrici le il cappello
A: ",calciano attrici le il cappello,No,No,,0
8,ita,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: topo attrici spingono il le
A: No

Q: Is this sentence grammatical? Yes or No: cappello maestra tocca un la
A: No

Q: Is this sentence grammatical? Yes or No: la professoressa colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: una dottoressa legge capitolo un
A: No

Q: Is this sentence grammatical? Yes or No: topo attrice tocca un l
A: No

Q: Is this sentence grammatical? Yes or No: gli la leggono autori lettera
A: No

Q: Is this sentence grammatical? Yes or No: la professoressa calcia cappello un
A: No

Q: Is this sentence grammatical? Yes or No: mangiano attrici le il pesce
A: No

Q: Is this sentence grammatical? Yes or No: la ragazza beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: il gatto una spinge bottiglia
A: No

Q: Is this sentence grammatical? Yes or No: le donne calciano il giornale
A: ",le donne calciano il giornale,No,Yes,,0
9,ita,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le attrici spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: la maestra tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: la professoressa colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: una dottoressa legge capitolo un
A: No

Q: Is this sentence grammatical? Yes or No: topo attrice tocca un l
A: No

Q: Is this sentence grammatical? Yes or No: gli autori leggono la lettera
A: Yes

Q: Is this sentence grammatical? Yes or No: la professoressa calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: mangiano attrici le il pesce
A: No

Q: Is this sentence grammatical? Yes or No: la ragazza beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: il gatto spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: l' avvocate toccano il cappello
A: ",l' avvocate toccano il cappello,Yes,Yes,,0
