,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すマウスをは女優たち
A: No

Q: Is this sentence grammatical? Yes or No: 触るを帽子は教師
A: Yes

Q: Is this sentence grammatical? Yes or No: 打つ新聞をは教授
A: No

Q: Is this sentence grammatical? Yes or No: 読むは章を医者
A: No

Q: Is this sentence grammatical? Yes or No: 触るを女優はマウス
A: No

Q: Is this sentence grammatical? Yes or No: 読むを手紙著者たちは
A: No

Q: Is this sentence grammatical? Yes or No: を蹴る帽子は教授
A: No

Q: Is this sentence grammatical? Yes or No: 食べるを魚は女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソ女の子は
A: No

Q: Is this sentence grammatical? Yes or No: ボトルを押すは猫
A: No

Q: Is this sentence grammatical? Yes or No: ミルクセーキを飲むは医者
A: ",ミルクセーキを飲むは医者,No,No,,0
1,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すマウスをは女優たち
A: No

Q: Is this sentence grammatical? Yes or No: 触るは帽子を教師
A: No

Q: Is this sentence grammatical? Yes or No: 打つ新聞をは教授
A: No

Q: Is this sentence grammatical? Yes or No: 読むは章を医者
A: No

Q: Is this sentence grammatical? Yes or No: 触るをマウスは女優
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むを手紙著者たちは
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るを帽子は教授
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるを魚は女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソ女の子は
A: No

Q: Is this sentence grammatical? Yes or No: ボトルを押すは猫
A: No

Q: Is this sentence grammatical? Yes or No: 読む詩をは作家たち
A: ",読む詩をは作家たち,Yes,No,,0
2,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すをマウスは女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るを帽子は教師
A: Yes

Q: Is this sentence grammatical? Yes or No: 打つ新聞をは教授
A: No

Q: Is this sentence grammatical? Yes or No: 読むは章を医者
A: No

Q: Is this sentence grammatical? Yes or No: 触るをマウスは女優
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むを手紙著者たちは
A: No

Q: Is this sentence grammatical? Yes or No: を蹴る帽子は教授
A: No

Q: Is this sentence grammatical? Yes or No: 食べるを魚は女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソ女の子は
A: No

Q: Is this sentence grammatical? Yes or No: 押すをボトルは猫
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをジュースは男性
A: ",飲むをジュースは男性,No,Yes,,0
3,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すをマウスは女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るは帽子を教師
A: No

Q: Is this sentence grammatical? Yes or No: 打つを新聞は教授
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むは章を医者
A: No

Q: Is this sentence grammatical? Yes or No: 触るをマウスは女優
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むを手紙著者たちは
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るを帽子は教授
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるを魚は女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソ女の子は
A: No

Q: Is this sentence grammatical? Yes or No: ボトルを押すは猫
A: No

Q: Is this sentence grammatical? Yes or No: 押すを魚は医者たち
A: ",押すを魚は医者たち,Yes,Yes,,0
4,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すマウスをは女優たち
A: No

Q: Is this sentence grammatical? Yes or No: 触るを帽子は教師
A: Yes

Q: Is this sentence grammatical? Yes or No: 打つ新聞をは教授
A: No

Q: Is this sentence grammatical? Yes or No: 読むは章を医者
A: No

Q: Is this sentence grammatical? Yes or No: 触るを女優はマウス
A: No

Q: Is this sentence grammatical? Yes or No: 読むを手紙は著者たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴るを帽子は教授
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるを魚は女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソは女の子
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトルを押すは猫
A: No

Q: Is this sentence grammatical? Yes or No: 押すを白亜医者たちは
A: ",押すを白亜医者たちは,No,No,,0
5,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すをマウスは女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るは帽子を教師
A: No

Q: Is this sentence grammatical? Yes or No: 打つを新聞は教授
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むは章を医者
A: No

Q: Is this sentence grammatical? Yes or No: 触るを女優はマウス
A: No

Q: Is this sentence grammatical? Yes or No: 読むを手紙著者たちは
A: No

Q: Is this sentence grammatical? Yes or No: を蹴る帽子は教授
A: No

Q: Is this sentence grammatical? Yes or No: 食べるを魚は女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソは女の子
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すをボトルは猫
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをお茶は教師
A: ",飲むをお茶は教師,Yes,Yes,,0
6,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すをマウスは女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るは帽子を教師
A: No

Q: Is this sentence grammatical? Yes or No: 打つ新聞をは教授
A: No

Q: Is this sentence grammatical? Yes or No: 読むは章を医者
A: No

Q: Is this sentence grammatical? Yes or No: 触るをマウスは女優
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むを手紙は著者たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴るを帽子は教授
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるを女優たちは魚
A: No

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソ女の子は
A: No

Q: Is this sentence grammatical? Yes or No: 押すをボトルは猫
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴るを玩具女の子たちは
A: ",蹴るを玩具女の子たちは,No,No,,0
7,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すをマウスは女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るを帽子は教師
A: Yes

Q: Is this sentence grammatical? Yes or No: 打つを新聞は教授
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むは章を医者
A: No

Q: Is this sentence grammatical? Yes or No: 触るをマウスは女優
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むを手紙著者たちは
A: No

Q: Is this sentence grammatical? Yes or No: を蹴る帽子は教授
A: No

Q: Is this sentence grammatical? Yes or No: 食べるを魚は女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソは女の子
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すをボトルは猫
A: Yes

Q: Is this sentence grammatical? Yes or No: 帽子を蹴るは女優たち
A: ",帽子を蹴るは女優たち,No,No,,0
8,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すマウスをは女優たち
A: No

Q: Is this sentence grammatical? Yes or No: 触るは帽子を教師
A: No

Q: Is this sentence grammatical? Yes or No: 打つを新聞は教授
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むは章を医者
A: No

Q: Is this sentence grammatical? Yes or No: 触るを女優はマウス
A: No

Q: Is this sentence grammatical? Yes or No: 読むを手紙著者たちは
A: No

Q: Is this sentence grammatical? Yes or No: を蹴る帽子は教授
A: No

Q: Is this sentence grammatical? Yes or No: 食べるを女優たちは魚
A: No

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソは女の子
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトルを押すは猫
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るを新聞は女性たち
A: ",蹴るを新聞は女性たち,No,Yes,,0
9,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すをマウスは女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るを帽子は教師
A: Yes

Q: Is this sentence grammatical? Yes or No: 打つを新聞は教授
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むは章を医者
A: No

Q: Is this sentence grammatical? Yes or No: 触るを女優はマウス
A: No

Q: Is this sentence grammatical? Yes or No: 読むを手紙は著者たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴るを帽子は教授
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるを女優たちは魚
A: No

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソは女の子
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すをボトルは猫
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るを帽子は弁護士たち
A: ",触るを帽子は弁護士たち,Yes,Yes,,0
