,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that the teachers bring newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the dog brings bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that the dogs hold fish the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the dogs eat fish the
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that the man holds bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man carries cap the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the boys carry the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the teachers climb staircase the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that the dog carries bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom sees that the man carries chalk the
A:",Tom sees that the man carries chalk the,No,No,"[('Tom', 0), ('sees', 11.749042510986328), ('that', 14.452827453613281), ('the', 6.015017986297607), ('man', 2.5827088356018066), ('carries', 17.62756061553955), ('carries', 17.62756061553955), ('chalk', 11.891553938388824), ('chalk', 11.891553938388824)]",0
1,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that the teachers bring newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds toy the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the dog brings bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that the dogs hold fish the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the dogs eat the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that the man holds bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man carries the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the boys carry the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the teachers climb staircase the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that the dog carries bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Leela sees that the teacher climbs mountain the
A:",Leela sees that the teacher climbs mountain the,No,No,"[('Leela', 0.0011028790613636374), ('Leela', 0.0011028790613636374), ('sees', 0.0013441918417811394), ('that', 9.658725321060047e-05), ('the', 0.016034558415412903), ('teacher', 0.18834853172302246), ('climbs', 0.0002139590542356018), ('climbs', 0.0002139590542356018), ('mountain', 0.5076209306716919)]",0
2,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that the teachers bring the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the dog brings bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that the dogs hold fish the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the dogs eat the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that the man holds bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man carries cap the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the boys carry the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the teachers climb staircase the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that the dog carries the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that the girls climb the mountain
A:",John sees that the girls climb the mountain,Yes,Yes,"[('John', 0), ('sees', 0.000712072302121669), ('that', 2.336678335268516e-05), ('the', 0.030990520492196083), ('girls', 0.2839765250682831), ('climb', 0.00015394394722534344), ('climb', 0.00015394394722534344), ('the', 0.3937196731567383), ('mountain', 0.1522843837738037)]",0
3,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that the teachers bring the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds toy the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the dog brings the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that the dogs hold fish the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the dogs eat the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that the man holds bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man carries the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the boys carry the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the teachers climb staircase the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that the dog carries bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela affirms that the woman brings the bottle
A:",Sheela affirms that the woman brings the bottle,Yes,Yes,"[('Sheela', 0.0005148937925696373), ('Sheela', 0.0005148937925696373), ('affir', 0.0009805759073060472), ('affirms', 0.5740416844964784), ('affirms', 0.5740416844964784), ('that', 0.6604710817337036), ('the', 0.31316354870796204), ('woman', 0.10911790281534195), ('brings', 0.0011317244498059154)]",0
4,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that the teachers bring newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the dog brings bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that the dogs hold fish the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the dogs eat fish the
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that the man holds the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man carries the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the boys carry the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the teachers climb the staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that the dog carries bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry notices that the cat eats cucumber the
A:",Harry notices that the cat eats cucumber the,No,No,"[('Harry', 0), ('notices', 8.436099960817955e-05), ('notices', 8.436099960817955e-05), ('that', 0.013479268178343773), ('the', 0.23701618611812592), ('cat', 0.15714633464813232), ('eats', 0.0023129965411499143), ('eats', 0.0023129965411499143), ('cuc', 0.7368623611982912)]",0
5,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that the teachers bring the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds toy the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the dog brings the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that the dogs hold fish the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the dogs eat fish the
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that the man holds bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man carries cap the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the boys carry the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the teachers climb the staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that the dog carries the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela knows that the cats carry the bulb
A:",Sheela knows that the cats carry the bulb,Yes,Yes,"[('Sheela', 0.0005148937925696373), ('Sheela', 0.0005148937925696373), ('knows', 0.0009794342331588268), ('that', 3.969891258748248e-05), ('the', 0.15462931990623474), ('cats', 0.08928009332157671), ('cats', 0.08928009332157671), ('carry', 0.03436470776796341), ('the', 0.00010747213673312217)]",0
6,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that the teachers bring the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds toy the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the dog brings bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that the dogs hold fish the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the dogs eat the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that the man holds the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man carries the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the boys carry toy the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the teachers climb staircase the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that the dog carries the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the girl eats fruit the
A:",Gomu affirms that the girl eats fruit the,Yes,No,"[('Gom', 0.004923491273075342), ('Gomu', 0.006221728282980621), ('Gomu', 0.006221728282980621), ('affir', 0.007039935290777066), ('affirms', 0.2327497759461039), ('affirms', 0.2327497759461039), ('that', 0.8764633536338806), ('the', 0.17322005331516266), ('girl', 0.2245263159275055)]",0
7,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that the teachers bring the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the dog brings the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that the dogs hold fish the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the dogs eat the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that the man holds bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man carries cap the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the boys carry the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the teachers climb the staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that the dog carries the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria affirms that the man brings fish the
A:",Maria affirms that the man brings fish the,No,No,"[('Maria', 0), ('affir', 9.859986903393292e-05), ('affirms', 0.2135160852253648), ('affirms', 0.2135160852253648), ('that', 0.716947615146637), ('the', 0.2672138512134552), ('man', 0.12942837178707123), ('brings', 0.0023792332503944635), ('fish', 6.666182162007317e-05)]",0
8,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that the teachers bring newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds toy the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the dog brings the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that the dogs hold fish the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the dogs eat fish the
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that the man holds bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man carries cap the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the boys carry toy the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the teachers climb the staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that the dog carries bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the boys bring the bottle
A:",Gomu says that the boys bring the bottle,No,Yes,"[('Gom', 0.004923491273075342), ('Gomu', 0.006221728282980621), ('Gomu', 0.006221728282980621), ('says', 0.007036300841718912), ('that', 0.0003626669349614531), ('the', 0.02311336062848568), ('boys', 0.1321260631084442), ('bring', 0.0003241804661229253), ('the', 0.000337259320076555)]",0
9,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that the teachers bring the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the dog brings the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that the dogs hold fish the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the dogs eat fish the
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that the man holds the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man carries the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the boys carry toy the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the teachers climb the staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that the dog carries the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the writer reads the story
A:",Tom says that the writer reads the story,Yes,Yes,"[('Tom', 0), ('says', 0.000290526426397264), ('that', 0.00022646125580649823), ('the', 0.07769206166267395), ('writer', 0.11572076380252838), ('reads', 0.00024379719980061054), ('the', 0.00011110638297395781), ('story', 0.16706174612045288), ('Yes', 0.06318586319684982)]",0
