,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: the dog takes a chalk doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boys eat the doesn't meal
A: Yes

Q: Is this sentence grammatical? Yes or No: a dogs take the mouse doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girls carry the toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the girl holds a doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a girls read a doesn't story
A: Yes

Q: Is this sentence grammatical? Yes or No: the dog climbs a roof doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girl holds the newspaper doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a writers read the book doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girls carry the doesn't fish
A: Yes

",a teachers eat the meal doesn't,No,No,"[('a', 0), ('teachers', 11.129639625549316), ('eat', 16.416765213012695), ('the', 17.030763626098633), ('meal', 15.410296440124512), ('meal', 15.410296440124512), (""doesn'"", 15.144416511058807)]",0
1,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a boy takes a box doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a dogs eat the doesn't pear
A: Yes

Q: Is this sentence grammatical? Yes or No: a women carry the doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a boys take a doesn't cup
A: Yes

Q: Is this sentence grammatical? Yes or No: the woman holds a toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the woman holds the box doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the dog takes the fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the girl reads a book doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a women eat the doesn't cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: a dog brings the doesn't cup
A: Yes

",a boys eat a fruit doesn't,Yes,No,"[('a', 0), ('boys', 0.0004463181539904326), ('eat', 1.3600470083474647e-05), ('a', 1.809894820326008e-05), ('fruit', 0.024851443246006966), (""doesn'"", 0.0050914490057039075), (""doesn't"", 0.6610982024503755)]",0
2,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a men carry the doesn't chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a girls carry a doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a girls carry a bottle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the cat brings the cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the teacher takes the doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the speaker reads the doesn't poem
A: Yes

Q: Is this sentence grammatical? Yes or No: a dogs eat the doesn't meal
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman carries a bulb doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the dog takes the box doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girls carry the fish doesn't
A: No

",the girl eats a doesn't fruit,Yes,Yes,"[('the', 0), ('girl', 0.0005843869294039905), ('eats', 0.0010075583559228107), ('eats', 0.0010075583559228107), ('a', 0.4572894871234894), (""doesn'"", 0.0738128366415367), (""doesn't"", 0.7510826530401573)]",0
3,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a woman takes the toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the dog takes the doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a men eat a doesn't biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: a teachers carry the bulb doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a writers read a poem doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the dog holds the doesn't bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman holds a cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a women take the mouse doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a dogs eat a doesn't biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: a men climb a doesn't roof
A: Yes

",the woman carries the bottle doesn't,Yes,No,"[('the', 0), ('woman', 0.0005843869294039905), ('carries', 0.0006491004169220105), ('carries', 0.0006491004169220105), ('the', 0.4546429514884949), ('bottle', 0.23824325628811494), ('bottle', 0.23824325628811494)]",0
4,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: the girl carries a cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boys climb the doesn't mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: a dogs take the toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the cat carries a toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the woman eats the fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girls climb a mountain doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a writer reads a poem doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a dogs hold a bulb doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a woman takes the doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman holds a cup doesn't
A: No

",the man climbs a doesn't rock,Yes,Yes,"[('the', 0), ('man', 0.0005843869294039905), ('climbs', 0.0017236380408576224), ('climbs', 0.0017236380408576224), ('a', 0.20571529865264893), (""doesn'"", 0.1107692970779226), (""doesn't"", 0.7775351657417104)]",0
5,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: the poet reads a story doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teachers hold a doesn't cup
A: Yes

Q: Is this sentence grammatical? Yes or No: a dogs bring a fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a cats carry a doesn't cap
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher holds the cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teacher brings the doesn't mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats hold the doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a women eat a pizza doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the teacher eats the fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teachers bring the chalk doesn't
A: No

",a teachers eat a doesn't pizza,Yes,Yes,"[('a', 0), ('teachers', 0.0004463181539904326), ('eat', 1.1430397535150405e-05), ('a', 7.468429885193473e-06), (""doesn'"", 0.02672851508259555), (""doesn't"", 0.7344054621994474), (""doesn't"", 0.7344054621994474)]",0
6,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a girls take the doesn't chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a man brings the bottle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a men take a cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boy brings the box doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boy climbs a rock doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teacher eats the doesn't meal
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl holds a doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a girls take the doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a men carry the cap doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teachers hold a cup doesn't
A: No

",a teachers carry a doesn't cap,No,Yes,"[('a', 0), ('teachers', 0.0004463181539904326), ('carry', 1.1430397535150405e-05), ('a', 1.5042508493934292e-05), (""doesn'"", 0.07768048229229407), (""doesn't"", 0.685285760784268), (""doesn't"", 0.685285760784268)]",0
7,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a women hold the doesn't bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: a girls take a toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girls take a bulb doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a dog takes the doesn't bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the boy takes a doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a teachers take the toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the boy eats a doesn't pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats take a toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a cats take a fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a women carry the toy doesn't
A: No

",a man brings the doesn't cap,Yes,Yes,"[('a', 0), ('man', 0.0004463181539904326), ('brings', 0.0016898076282814145), ('the', 0.00016302993753924966), (""doesn'"", 0.026818045384516154), (""doesn't"", 0.6796391689845223), (""doesn't"", 0.6796391689845223)]",0
8,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a woman eats a pizza doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a women bring the doesn't bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the poet reads the doesn't chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats carry a doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a girls bring the mouse doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the speaker reads the poem doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the cat takes the toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girl brings the doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a boys bring the doesn't chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats carry a bulb doesn't
A: No

",a teachers read a story doesn't,Yes,No,"[('a', 0), ('teachers', 0.0004463181539904326), ('read', 1.1430397535150405e-05), ('a', 0.00021030848438385874), ('story', 0.014599604532122612), (""doesn'"", 0.016498096162649745), (""doesn't"", 0.5645901634043184)]",0
9,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a teacher brings a bulb doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the cat takes the chalk doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a cat holds a doesn't bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats hold a newspaper doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a women eat the doesn't banana
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman brings a bottle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boys carry the doesn't bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: a boys bring the doesn't chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a teachers climb the doesn't roof
A: Yes

Q: Is this sentence grammatical? Yes or No: the dog brings a bulb doesn't
A: No

",a women take a bottle doesn't,Yes,No,"[('a', 0), ('women', 0.0004463181539904326), ('take', 4.856045052292757e-05), ('a', 0.0001914745371323079), ('bottle', 0.2194150883005932), ('bottle', 0.2194150883005932), (""doesn'"", 0.9808603146022961)]",0
