,type,prompt,q,prediction,gold,surprisal,int-grad
0,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kars women take box kars
A: No

Q: Is this sentence grammatical? Yes or No: kars women take newspaper kars
A: No

Q: Is this sentence grammatical? Yes or No: kons cats hold kons bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy holds kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher takes kon bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers bring kons toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys carry kons cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat eats fruit kon
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher carries kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers take kons bulb
A: Yes

",kons men climb kons roof,Yes,Yes,"[('kons', 14.586249351501465), ('kons', 14.586249351501465), ('men', 11.005128860473633), ('climb', 20.943832397460938), ('kons', 25.980536937713623), ('kons', 25.980536937713623)]",0
1,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon dog holds kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women eat kars banana
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl climbs kar rock
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy holds kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman eats kar pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy brings box kon
A: No

Q: Is this sentence grammatical? Yes or No: kons boys hold cup kons
A: No

Q: Is this sentence grammatical? Yes or No: kons boys take kons bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kon speaker reads kon chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl holds newspaper kar
A: No

",kon dog brings mouse kon,Yes,No,"[('kon', 0), ('dog', 1.5577199974359246e-07), ('brings', 1.6115009202621877e-06), ('mouse', 9.463357855565846e-05), ('kon', 2.3060888452164363e-06), ('Yes', 6.053892502677627e-05)]",0
2,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kar woman eats pear kar
A: No

Q: Is this sentence grammatical? Yes or No: kon man climbs rock kon
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher carries kon cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman climbs kar roof
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men bring fish kons
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers take kons cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher carries box kon
A: No

Q: Is this sentence grammatical? Yes or No: kon man brings kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls take kars cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat holds bulb kon
A: No

",kon writer reads story kon,Yes,No,"[('kon', 0), ('writer', 1.5577199974359246e-07), ('reads', 4.6646135842820513e-07), ('story', 5.3349704103311524e-05), ('kon', 0.0007125678239390254), ('Yes', 0.00014229450607672334)]",0
3,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons men hold toy kons
A: No

Q: Is this sentence grammatical? Yes or No: kar woman eats kar pear
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls climb tree kars
A: No

Q: Is this sentence grammatical? Yes or No: kon boy reads kon book
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat carries bulb kon
A: No

Q: Is this sentence grammatical? Yes or No: kar woman eats pizza kar
A: No

Q: Is this sentence grammatical? Yes or No: kars women eat banana kars
A: No

Q: Is this sentence grammatical? Yes or No: kar girl climbs kar roof
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat holds mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kons men eat kons banana
A: Yes

",kons men bring cap kons,No,No,"[('kons', 4.0653834730619565e-05), ('kons', 4.0653834730619565e-05), ('men', 0.0004865485825575888), ('bring', 4.957676082995022e-07), ('cap', 1.209092624776531e-05), ('kons', 0.002168414562675025)]",0
4,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons teachers bring kons box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons speakers read kons book
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl carries kar newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy takes cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kon man holds newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher carries chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher brings kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs eat cucumber kons
A: No

Q: Is this sentence grammatical? Yes or No: kons men take mouse kons
A: No

Q: Is this sentence grammatical? Yes or No: kons boys carry cup kons
A: No

",kons cats eat kons fruit,No,Yes,"[('kons', 4.0653834730619565e-05), ('kons', 4.0653834730619565e-05), ('cats', 0.0004865485825575888), ('eat', 2.2150457823499892e-07), ('kons', 0.014832260989351198), ('kons', 0.014832260989351198)]",0
5,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon cat climbs kon tree
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman takes newspaper kar
A: No

Q: Is this sentence grammatical? Yes or No: kon boy reads kon story
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs climb kons mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women eat banana kars
A: No

Q: Is this sentence grammatical? Yes or No: kar woman holds kar toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls climb kars rock
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats take kons fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers take kons bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls bring kars box
A: Yes

",kars women carry mouse kars,No,No,"[('kars', 4.0653834730619565e-05), ('kars', 4.0653834730619565e-05), ('women', 0.0002739972260314971), ('carry', 3.675749553622154e-07), ('mouse', 0.00010251776984659955), ('kars', 0.001968477672107838)]",0
6,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon teacher carries toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls climb kars tree
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman eats kar pear
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy brings cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kon man eats kon biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers take kons fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy carries kon bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats take kons fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man takes cup kon
A: No

Q: Is this sentence grammatical? Yes or No: kon cat eats kon pear
A: Yes

",kon dog carries kon chalk,Yes,Yes,"[('kon', 0), ('dog', 1.5577229817154148e-07), ('carries', 1.6115009202621877e-06), ('kon', 1.2974058336112648e-05), ('chalk', 0.002760961651802063), ('chalk', 0.002760961651802063)]",0
7,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons men hold toy kons
A: No

Q: Is this sentence grammatical? Yes or No: kon man eats fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs take kons cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man brings kon bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs climb mountain kons
A: No

Q: Is this sentence grammatical? Yes or No: kons boys eat meal kons
A: No

Q: Is this sentence grammatical? Yes or No: kon boy climbs kon hill
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers eat fruit kons
A: No

Q: Is this sentence grammatical? Yes or No: kons boys carry toy kons
A: No

Q: Is this sentence grammatical? Yes or No: kon boy takes box kon
A: No

",kons teachers read kons poem,Yes,Yes,"[('kons', 4.0653834730619565e-05), ('kons', 4.0653834730619565e-05), ('teachers', 0.0004865485825575888), ('read', 3.2795359317105977e-08), ('kons', 0.0027481029683258384), ('kons', 0.0027481029683258384)]",0
8,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon boy carries kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kon speaker reads kon chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man climbs kon rock
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs bring cap kons
A: No

Q: Is this sentence grammatical? Yes or No: kar girl takes kar newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women eat meal kars
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers climb kons roof
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats hold toy kons
A: No

Q: Is this sentence grammatical? Yes or No: kon boy takes cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl holds fish kar
A: No

",kar girl holds cup kar,Yes,No,"[('kar', 0), ('girl', 5.736987418458739e-07), ('holds', 2.646318932875147e-07), ('cup', 3.6197638110024855e-05), ('kar', 0.0003259248042013496), ('Yes', 0.0002567069896031171)]",0
9,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon man holds kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher reads kon poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy eats banana kon
A: No

Q: Is this sentence grammatical? Yes or No: kon boy eats meal kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl carries kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men hold chalk kons
A: No

Q: Is this sentence grammatical? Yes or No: kon boy brings chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers climb mountain kons
A: No

Q: Is this sentence grammatical? Yes or No: kon cat eats kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys carry bottle kons
A: No

",kars girls take bulb kars,No,No,"[('kars', 4.0653834730619565e-05), ('kars', 4.0653834730619565e-05), ('girls', 0.0002739972260314971), ('take', 3.611701515637833e-07), ('bulb', 0.0007046540777082555), ('bulb', 0.0007046540777082555)]",0
