,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a woman drinks espresso the
A: No

Q: Is this sentence grammatical? Yes or No: the architects touch a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the women eat cucumber the
A: No

Q: Is this sentence grammatical? Yes or No: the writers drink a lemonade
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher touches a lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the actress touches toy a
A: No

Q: Is this sentence grammatical? Yes or No: a boy kicks bottle a
A: No

Q: Is this sentence grammatical? Yes or No: the woman pushes toy a
A: No

Q: Is this sentence grammatical? Yes or No: a professor reads a poem
A: Yes

Q: Is this sentence grammatical? Yes or No: the orators read a story
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctor drinks milkshake the
A:",the doctor drinks milkshake the,No,No,"[('the', 0), ('doctor', 13.119741439819336), ('drinks', 10.480229377746582), ('milkshake', 21.708359241485596), ('milkshake', 21.708359241485596), ('the', 7.338913917541504)]",0
1,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the architect hits toy a
A: No

Q: Is this sentence grammatical? Yes or No: the writers push a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers touch cup the
A: No

Q: Is this sentence grammatical? Yes or No: the doctors drink a espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: the dog pushes bottle the
A: No

Q: Is this sentence grammatical? Yes or No: a writer eats the biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors kick mouse a
A: No

Q: Is this sentence grammatical? Yes or No: a cook kicks mouse a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers drink a water
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs touch the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the writers read the poem
A:",the writers read the poem,Yes,Yes,"[('the', 0), ('writers', 0.00011234640260227025), ('read', 3.1500378099735826e-05), ('the', 0.00038163401768542826), ('poem', 0.06959368288516998), ('Yes', 0.011939886026084423)]",0
2,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a doctor pushes newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the teacher touches toy the
A: No

Q: Is this sentence grammatical? Yes or No: the women hit the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors read chapter a
A: No

Q: Is this sentence grammatical? Yes or No: the cooks hit the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the cook eats a meal
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl pushes newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the women drink the lemonade
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl hits hat a
A: No

Q: Is this sentence grammatical? Yes or No: the girl touches a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the men drink juice a
A:",the men drink juice a,No,No,"[('the', 0), ('men', 0.00011234640260227025), ('drink', 0.00042617839062586427), ('juice', 0.00010681613639462739), ('a', 0.00023199750285129994), ('No', 0.0007781021413393319)]",0
3,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the authors read letter a
A: No

Q: Is this sentence grammatical? Yes or No: the orators read story a
A: No

Q: Is this sentence grammatical? Yes or No: the teacher pushes the lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers drink beverage a
A: No

Q: Is this sentence grammatical? Yes or No: the boys touch newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: a writer hits a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs kick a box
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers hit lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: the architects kick the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats eat the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors push fish a
A:",the doctors push fish a,No,No,"[('the', 0), ('doctors', 0.00011234640260227025), ('push', 4.000191984232515e-05), ('fish', 6.462915916927159e-05), ('a', 3.0564544431399554e-05), ('No', 0.0007337558199651539)]",0
4,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the girl drinks a beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors eat the meal
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyer drinks the lemonade
A: Yes

Q: Is this sentence grammatical? Yes or No: the architect hits toy a
A: No

Q: Is this sentence grammatical? Yes or No: the men hit newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: the cat pushes cup a
A: No

Q: Is this sentence grammatical? Yes or No: a boy reads a guide
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher pushes a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl kicks newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the women eat cucumber the
A: No

Q: Is this sentence grammatical? Yes or No: the doctors push the chalk
A:",the doctors push the chalk,Yes,Yes,"[('the', 0), ('doctors', 0.00011234769044676796), ('push', 3.989531978731975e-05), ('the', 6.418935663532466e-05), ('chalk', 0.13751676343963481), ('chalk', 0.13751676343963481)]",0
5,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the boys drink juice the
A: No

Q: Is this sentence grammatical? Yes or No: the dogs push newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the doctors eat fish a
A: No

Q: Is this sentence grammatical? Yes or No: the cats touch a cup
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses push the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the architects push the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the actress touches mouse a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers hit lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: the doctors eat a biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers push a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher drinks a tea
A:",the teacher drinks a tea,Yes,Yes,"[('the', 0), ('teacher', 0.00011234640260227025), ('drinks', 0.00017371171270497143), ('a', 3.604434459703043e-05), ('tea', 0.052187345921993256), ('Yes', 0.011060765013098717)]",0
6,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the writer kicks the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors drink the beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: the writers read a chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs push lightbulb a
A: No

Q: Is this sentence grammatical? Yes or No: the doctor drinks smoothie the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers drink water a
A: No

Q: Is this sentence grammatical? Yes or No: a doctor pushes newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the cats drink juice a
A: No

Q: Is this sentence grammatical? Yes or No: the men kick a lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers touch a toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls kick a toy
A:",the girls kick a toy,Yes,Yes,"[('the', 0), ('girls', 0.00011234640260227025), ('kick', 0.00026179279666393995), ('a', 0.0002695785369724035), ('toy', 0.028623489663004875), ('Yes', 0.00031824057805351913)]",0
7,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the teachers drink espresso the
A: No

Q: Is this sentence grammatical? Yes or No: the architect reads a chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: the authors read the guide
A: Yes

Q: Is this sentence grammatical? Yes or No: the cooks touch mouse the
A: No

Q: Is this sentence grammatical? Yes or No: a dog kicks lightbulb a
A: No

Q: Is this sentence grammatical? Yes or No: a architect hits the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the man touches the lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the actress kicks toy a
A: No

Q: Is this sentence grammatical? Yes or No: a architect touches chalk a
A: No

Q: Is this sentence grammatical? Yes or No: the lawyer drinks a milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses kick the hat
A:",the actresses kick the hat,Yes,Yes,"[('the', 0), ('actresses', 0.0001905480894492939), ('actresses', 0.0001905480894492939), ('kick', 0.020650925114750862), ('the', 3.766849476960488e-05), ('hat', 0.025283103808760643)]",0
8,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the girls touch newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers touch newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: the cook pushes the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers eat banana the
A: No

Q: Is this sentence grammatical? Yes or No: a woman pushes the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the author reads the magazine
A: Yes

Q: Is this sentence grammatical? Yes or No: the cooks push a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl reads chapter the
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers kick a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl pushes newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the women kick newspaper a
A:",the women kick newspaper a,No,No,"[('the', 0), ('women', 0.00011234640260227025), ('kick', 0.00018819434626493603), ('newspaper', 3.606745303841308e-05), ('a', 2.365752607147442e-06), ('No', 0.0022369669750332832)]",0
9,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a man eats a pear
A: Yes

Q: Is this sentence grammatical? Yes or No: the architects eat fish the
A: No

Q: Is this sentence grammatical? Yes or No: a writer hits hat a
A: No

Q: Is this sentence grammatical? Yes or No: the girl eats meal the
A: No

Q: Is this sentence grammatical? Yes or No: a cook touches the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers touch the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the architects drink milkshake a
A: No

Q: Is this sentence grammatical? Yes or No: a woman drinks espresso the
A: No

Q: Is this sentence grammatical? Yes or No: a actress eats a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats eat the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers touch a hat
A:",the lawyers touch a hat,Yes,Yes,"[('the', 0), ('lawyers', 0.00011234640260227025), ('touch', 1.8211003407486714e-05), ('a', 5.6802246035658754e-06), ('hat', 0.024430524557828903), ('Yes', 9.121755283558741e-05)]",0
