,type,prompt,q,prediction,gold,surprisal,int-grad
0,en_S-r-1,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a wug ungos snorfle the
A: No

Q: Is this sentence grammatical? Yes or No: the blincos stoffle a pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: the wugen snugo gunzle the
A: No

Q: Is this sentence grammatical? Yes or No: the arcuplos ungo a blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: a hurple stoffles a prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindle stoffles fugfug a
A: No

Q: Is this sentence grammatical? Yes or No: a kingle chuskos woggle a
A: No

Q: Is this sentence grammatical? Yes or No: the wug chunges fugfug a
A: No

Q: Is this sentence grammatical? Yes or No: a knurkle gurdles a skerpo
A: Yes

Q: Is this sentence grammatical? Yes or No: the porpols gurdle a froble
A: Yes

Q: Is this sentence grammatical? Yes or No: the glump ungos forp the
A:",the glump ungos forp the,No,No,"[('the', 0), ('glump', 24.903185844421387), ('glump', 24.903185844421387), ('ungos', 26.347869873046875), ('ungos', 26.347869873046875), ('forp', 25.877058029174805)]",0
1,en_S-r-1,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the blinco hufkos fugfug a
A: No

Q: Is this sentence grammatical? Yes or No: the arcuplos chunge a sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples stoffle wompel the
A: No

Q: Is this sentence grammatical? Yes or No: the glumps ungo a snorfle
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundle chunges woggle the
A: No

Q: Is this sentence grammatical? Yes or No: a arcuplo snugos the plonkle
A: Yes

Q: Is this sentence grammatical? Yes or No: the glumps chusko pelunko a
A: No

Q: Is this sentence grammatical? Yes or No: a fuzzle chuskos pelunko a
A: No

Q: Is this sentence grammatical? Yes or No: the hurples ungo a gluggle
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundles stoffle the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the arcuplos gurdle skerpo the
A:",the arcuplos gurdle skerpo the,Yes,No,"[('the', 0), ('arcu', 0.0004841479312744923), ('arcupl', 0.001041613235429395), ('arcuplos', 0.0011885165367857553), ('arcuplos', 0.0011885165367857553), ('gurd', 0.003530929214321077)]",0
2,en_S-r-1,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a glump chunges gongle a
A: No

Q: Is this sentence grammatical? Yes or No: the hurple stoffles fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: the wugen hufko the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: the glumps gurdle wrindle a
A: No

Q: Is this sentence grammatical? Yes or No: the fuzzles hufko the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzle snugos a kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: a miffle chunges gongle a
A: No

Q: Is this sentence grammatical? Yes or No: the wugen ungo the blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: a miffle hufkos sturple a
A: No

Q: Is this sentence grammatical? Yes or No: the miffle stoffles a pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: the grumblen ungo gorp a
A:",the grumblen ungo gorp a,Yes,No,"[('the', 0), ('grum', 0.00025695484509924427), ('grumbl', 0.006537867397128139), ('grumblen', 0.5651227363050566), ('grumblen', 0.5651227363050566), ('ungo', 0.0009820280374697177)]",0
3,en_S-r-1,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the quozzles gurdle strumble a
A: No

Q: Is this sentence grammatical? Yes or No: the porpols gurdle froble a
A: No

Q: Is this sentence grammatical? Yes or No: the hurple chunges the prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: the progs ungo droczle a
A: No

Q: Is this sentence grammatical? Yes or No: the kingles stoffle gongle the
A: No

Q: Is this sentence grammatical? Yes or No: a arcuplo hufkos a zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundles chusko a tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples hufko prundle the
A: No

Q: Is this sentence grammatical? Yes or No: the blincos chusko the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: the priffles snugo the twizzle
A: Yes

Q: Is this sentence grammatical? Yes or No: the glumps chunge yurump a
A:",the glumps chunge yurump a,No,No,"[('the', 0), ('glumps', 0.0003960282847401686), ('glumps', 0.0003960282847401686), ('chunge', 0.00021705528888560366), ('chunge', 0.00021705528888560366), ('yur', 0.00029413948141154833)]",0
4,en_S-r-1,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the miffle ungos a droczle
A: Yes

Q: Is this sentence grammatical? Yes or No: the glumps snugo the kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: the prog ungos the blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: the blinco hufkos fugfug a
A: No

Q: Is this sentence grammatical? Yes or No: the grumblen hufko gongle the
A: No

Q: Is this sentence grammatical? Yes or No: the priffle chunges wompel a
A: No

Q: Is this sentence grammatical? Yes or No: a kingle gurdles a shuggle
A: Yes

Q: Is this sentence grammatical? Yes or No: a hurple chunges a zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: a miffle chuskos gongle a
A: No

Q: Is this sentence grammatical? Yes or No: the wugen snugo gunzle the
A: No

Q: Is this sentence grammatical? Yes or No: the glumps chunge zibble the
A:",the glumps chunge zibble the,Yes,No,"[('the', 0), ('glumps', 0.0003960282847401686), ('glumps', 0.0003960282847401686), ('chunge', 0.00021705528888560366), ('chunge', 0.00021705528888560366), ('zib', 0.00014053931590751745)]",0
5,en_S-r-1,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the kingles ungo gorp the
A: No

Q: Is this sentence grammatical? Yes or No: the pundles chunge gongle a
A: No

Q: Is this sentence grammatical? Yes or No: the glumps snugo yurump a
A: No

Q: Is this sentence grammatical? Yes or No: the priffles stoffle a wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindles chunge the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: the blincos chunge the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindle stoffles pelunko a
A: No

Q: Is this sentence grammatical? Yes or No: the hurples hufko prundle the
A: No

Q: Is this sentence grammatical? Yes or No: the glumps snugo a plonkle
A: Yes

Q: Is this sentence grammatical? Yes or No: the progs chunge a zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurple ungos ginso a
A:",the hurple ungos ginso a,No,No,"[('the', 0), ('hurple', 0.0001578670162416529), ('hurple', 0.0001578670162416529), ('ungos', 0.00024107434182951692), ('ungos', 0.00024107434182951692), ('gin', 0.002980833506626368)]",0
6,en_S-r-1,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the arcuplo chuskos the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: the glumps ungo the droczle
A: Yes

Q: Is this sentence grammatical? Yes or No: the arcuplos gurdle a wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundles chunge prundle a
A: No

Q: Is this sentence grammatical? Yes or No: the glump ungos skung the
A: No

Q: Is this sentence grammatical? Yes or No: the hurples ungo gluggle a
A: No

Q: Is this sentence grammatical? Yes or No: a glump chunges gongle a
A: No

Q: Is this sentence grammatical? Yes or No: the priffles ungo gorp a
A: No

Q: Is this sentence grammatical? Yes or No: the grumblen chusko a prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples stoffle a fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the miffles chusko fugfug a
A:",the miffles chusko fugfug a,No,No,"[('the', 0), ('miff', 0.0021941993982181884), ('miffles', 0.002496883949788753), ('miffles', 0.002496883949788753), ('chus', 0.002207243596785702), ('chusko', 0.002339882354135625)]",0
7,en_S-r-1,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the hurples ungo snorfle the
A: No

Q: Is this sentence grammatical? Yes or No: the blinco gurdles a wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: the quozzles gurdle the shuggle
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzles stoffle pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: a pundle chuskos prundle a
A: No

Q: Is this sentence grammatical? Yes or No: a blinco hufkos the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: the grumble stoffles the prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindle chuskos fugfug a
A: No

Q: Is this sentence grammatical? Yes or No: a blinco stoffles zibble a
A: No

Q: Is this sentence grammatical? Yes or No: the prog ungos a forp
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindles chusko sturple the
A:",the frindles chusko sturple the,No,No,"[('the', 0), ('frind', 0.00043223411921644583), ('frindles', 0.0008307118332595564), ('frindles', 0.0008307118332595564), ('chus', 0.00717339085531421), ('chusko', 0.007296919706277549)]",0
8,en_S-r-1,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the miffles stoffle gongle a
A: No

Q: Is this sentence grammatical? Yes or No: the progs stoffle gongle the
A: No

Q: Is this sentence grammatical? Yes or No: the fuzzle chunges the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples snugo twizzle the
A: No

Q: Is this sentence grammatical? Yes or No: a wug chunges the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: the quozzle gurdles the hergo
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzles chunge a gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the miffle gurdles wrindle the
A: No

Q: Is this sentence grammatical? Yes or No: the progs chusko a yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: a miffle chunges gongle a
A: No

Q: Is this sentence grammatical? Yes or No: the wugen chusko gongle a
A:",the wugen chusko gongle a,Yes,No,"[('the', 0), ('wug', 0.0013974467656225897), ('wugen', 0.0014690649986732751), ('wugen', 0.0014690649986732751), ('chus', 0.001314531546086073), ('chusko', 0.0017468543956056237)]",0
9,en_S-r-1,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a grumble snugos a glumpo
A: Yes

Q: Is this sentence grammatical? Yes or No: the blincos snugo yurump the
A: No

Q: Is this sentence grammatical? Yes or No: a arcuplo hufkos sturple a
A: No

Q: Is this sentence grammatical? Yes or No: the miffle snugos kergum the
A: No

Q: Is this sentence grammatical? Yes or No: a fuzzle stoffles the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: the progs stoffle the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the blincos ungo forp a
A: No

Q: Is this sentence grammatical? Yes or No: a wug ungos snorfle the
A: No

Q: Is this sentence grammatical? Yes or No: a frindle snugos a yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: the priffles snugo the twizzle
A: Yes

Q: Is this sentence grammatical? Yes or No: the progs stoffle sturple a
A:",the progs stoffle sturple a,No,No,"[('the', 0), ('progs', 0.0006522582625620998), ('progs', 0.0006522582625620998), ('stoff', 0.0005490657640621066), ('stoffle', 0.0006541088005178608), ('stoffle', 0.0006541088005178608)]",0
