,type,prompt,q,prediction,gold,surprisal,int-grad
0,en,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the drinks a woman espresso
A: No

Q: Is this sentence grammatical? Yes or No: the architects touch a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the eat the women cucumber
A: No

Q: Is this sentence grammatical? Yes or No: the writers drink a lemonade
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher touches a lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the a actress toy touches
A: No

Q: Is this sentence grammatical? Yes or No: boy a a bottle kicks
A: No

Q: Is this sentence grammatical? Yes or No: a woman toy the pushes
A: No

Q: Is this sentence grammatical? Yes or No: a professor reads a poem
A: Yes

Q: Is this sentence grammatical? Yes or No: the orators read a story
A: Yes

Q: Is this sentence grammatical? Yes or No: milkshake doctor drinks the the
A:",milkshake doctor drinks the the,No,No,"[('milkshake', 22.533889770507812), ('milkshake', 22.533889770507812), ('doctor', 7.485617637634277), ('drinks', 21.312599182128906), ('the', 11.177589416503906), ('the', 6.962526321411133)]",0
1,en,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: toy hits architect a the
A: No

Q: Is this sentence grammatical? Yes or No: the writers push a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the touch teachers cup the
A: No

Q: Is this sentence grammatical? Yes or No: the doctors drink a espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: the dog bottle the pushes
A: No

Q: Is this sentence grammatical? Yes or No: a writer eats the biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: a doctors mouse the kick
A: No

Q: Is this sentence grammatical? Yes or No: kicks mouse cook a a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers drink a water
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs touch the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the writers read the poem
A:",the writers read the poem,Yes,Yes,"[('the', 0), ('writers', 0.00011234640260227025), ('read', 3.1500378099735826e-05), ('the', 0.00038163401768542826), ('poem', 0.06959368288516998), ('Yes', 0.011939886026084423)]",0
2,en,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a newspaper a pushes doctor
A: No

Q: Is this sentence grammatical? Yes or No: touches the toy teacher the
A: No

Q: Is this sentence grammatical? Yes or No: the women hit the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: a read the chapter doctors
A: No

Q: Is this sentence grammatical? Yes or No: the cooks hit the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the cook eats a meal
A: Yes

Q: Is this sentence grammatical? Yes or No: pushes a newspaper girl a
A: No

Q: Is this sentence grammatical? Yes or No: the women drink the lemonade
A: Yes

Q: Is this sentence grammatical? Yes or No: girl hits a hat a
A: No

Q: Is this sentence grammatical? Yes or No: the girl touches a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: men the juice a drink
A:",men the juice a drink,No,No,"[('men', 0), ('the', 1.2185495279481984e-06), ('juice', 0.0002556383842602372), ('a', 4.074170647072606e-05), ('drink', 0.002187329577282071), ('No', 0.005416196770966053)]",0
3,en,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: letter the read authors a
A: No

Q: Is this sentence grammatical? Yes or No: read orators story a the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher pushes the lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the beverage drink a lawyers
A: No

Q: Is this sentence grammatical? Yes or No: the touch newspaper the boys
A: No

Q: Is this sentence grammatical? Yes or No: a writer hits a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs kick a box
A: Yes

Q: Is this sentence grammatical? Yes or No: the hit lightbulb teachers the
A: No

Q: Is this sentence grammatical? Yes or No: the architects kick the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats eat the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: doctors the push a fish
A:",doctors the push a fish,No,No,"[('doctors', 0), ('the', 1.3812656618483743e-07), ('push', 0.0006018354906700552), ('a', 0.00010632372868712991), ('fish', 0.005501350853592157), ('No', 0.00013019019388593733)]",0
4,en,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the girl drinks a beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors eat the meal
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyer drinks the lemonade
A: Yes

Q: Is this sentence grammatical? Yes or No: toy hits architect a the
A: No

Q: Is this sentence grammatical? Yes or No: the the men newspaper hit
A: No

Q: Is this sentence grammatical? Yes or No: cat a pushes cup the
A: No

Q: Is this sentence grammatical? Yes or No: a boy reads a guide
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher pushes a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a a newspaper kicks girl
A: No

Q: Is this sentence grammatical? Yes or No: the eat the women cucumber
A: No

Q: Is this sentence grammatical? Yes or No: the doctors push the chalk
A:",the doctors push the chalk,Yes,Yes,"[('the', 0), ('doctors', 0.00011234769044676796), ('push', 3.989531978731975e-05), ('the', 6.418935663532466e-05), ('chalk', 0.13751676343963481), ('chalk', 0.13751676343963481)]",0
5,en,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: drink boys juice the the
A: No

Q: Is this sentence grammatical? Yes or No: a newspaper dogs push the
A: No

Q: Is this sentence grammatical? Yes or No: fish doctors the a eat
A: No

Q: Is this sentence grammatical? Yes or No: the cats touch a cup
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses push the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the architects push the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: a actress mouse touches the
A: No

Q: Is this sentence grammatical? Yes or No: the hit lightbulb teachers the
A: No

Q: Is this sentence grammatical? Yes or No: the doctors eat a biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers push a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher drinks a tea
A:",the teacher drinks a tea,Yes,Yes,"[('the', 0), ('teacher', 0.00011234640260227025), ('drinks', 0.00017371171270497143), ('a', 3.604434459703043e-05), ('tea', 0.052187345921993256), ('Yes', 0.011060765013098717)]",0
6,en,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the writer kicks the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors drink the beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: the writers read a chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: push the dogs a lightbulb
A: No

Q: Is this sentence grammatical? Yes or No: drinks the the smoothie doctor
A: No

Q: Is this sentence grammatical? Yes or No: water drink teachers the a
A: No

Q: Is this sentence grammatical? Yes or No: a newspaper a pushes doctor
A: No

Q: Is this sentence grammatical? Yes or No: cats drink juice a the
A: No

Q: Is this sentence grammatical? Yes or No: the men kick a lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers touch a toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls kick a toy
A:",the girls kick a toy,Yes,Yes,"[('the', 0), ('girls', 0.00011234640260227025), ('kick', 0.00026179279666393995), ('a', 0.0002695785369724035), ('toy', 0.028623489663004875), ('Yes', 0.00031824057805351913)]",0
7,en,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the espresso the teachers drink
A: No

Q: Is this sentence grammatical? Yes or No: the architect reads a chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: the authors read the guide
A: Yes

Q: Is this sentence grammatical? Yes or No: the the mouse cooks touch
A: No

Q: Is this sentence grammatical? Yes or No: dog lightbulb a a kicks
A: No

Q: Is this sentence grammatical? Yes or No: a architect hits the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the man touches the lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: toy kicks the actress a
A: No

Q: Is this sentence grammatical? Yes or No: architect touches a chalk a
A: No

Q: Is this sentence grammatical? Yes or No: the lawyer drinks a milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses kick the hat
A:",the actresses kick the hat,Yes,Yes,"[('the', 0), ('actresses', 0.0001905480894492939), ('actresses', 0.0001905480894492939), ('kick', 0.020650925114750862), ('the', 3.766849476960488e-05), ('hat', 0.025283103808760643)]",0
8,en,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: girls the touch newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the the touch lawyers newspaper
A: No

Q: Is this sentence grammatical? Yes or No: the cook pushes the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: eat the banana the teachers
A: No

Q: Is this sentence grammatical? Yes or No: a woman pushes the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the author reads the magazine
A: Yes

Q: Is this sentence grammatical? Yes or No: the cooks push a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl reads chapter the
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers kick a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: pushes a newspaper girl a
A: No

Q: Is this sentence grammatical? Yes or No: a newspaper the kick women
A:",a newspaper the kick women,No,No,"[('a', 0), ('newspaper', 0.00015720089140813798), ('the', 3.355175067554228e-05), ('kick', 0.0009905268670991063), ('women', 9.459934517508373e-06), ('No', 1.7863505490822718e-05)]",0
9,en,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a man eats a pear
A: Yes

Q: Is this sentence grammatical? Yes or No: fish architects eat the the
A: No

Q: Is this sentence grammatical? Yes or No: writer hits a hat a
A: No

Q: Is this sentence grammatical? Yes or No: meal the eats the girl
A: No

Q: Is this sentence grammatical? Yes or No: a cook touches the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers touch the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the architects drink a milkshake
A: No

Q: Is this sentence grammatical? Yes or No: the drinks a woman espresso
A: No

Q: Is this sentence grammatical? Yes or No: a actress eats a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats eat the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers touch a hat
A:",the lawyers touch a hat,No,Yes,"[('the', 0), ('lawyers', 0.00011234640260227025), ('touch', 1.8211003407486714e-05), ('a', 5.6802246035658754e-06), ('hat', 0.024430524557828903), ('No', 9.121755283558741e-05)]",0
