,type,prompt,q,prediction,gold,surprisal,int-grad
0,en,"Q: Is this sentence grammatical? Yes or No: a dog climbs rock a
A: No

Q: Is this sentence grammatical? Yes or No: the men bring fish the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher carries newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers carry cap a
A: No

Q: Is this sentence grammatical? Yes or No: a boy carries bottle the
A: No

Q: Is this sentence grammatical? Yes or No: the boys take the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers hold the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the men bring newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the women carry the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the women carry fish a
A: No

",a boy brings a toy,Yes,Yes,"[('a', 0), ('boy', 12.627893447875977), ('brings', 12.067667961120605), ('a', 11.928305625915527), ('toy', 2.117955207824707), ('Yes', 5.6691203117370605)]",0
1,en,"Q: Is this sentence grammatical? Yes or No: the boy holds toy the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher eats fish the
A: No

Q: Is this sentence grammatical? Yes or No: the men climb a rock
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy holds cap the
A: No

Q: Is this sentence grammatical? Yes or No: the girls hold a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the boy brings chalk a
A: No

Q: Is this sentence grammatical? Yes or No: the woman brings a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys hold cup the
A: No

Q: Is this sentence grammatical? Yes or No: the cats climb mountain the
A: No

Q: Is this sentence grammatical? Yes or No: the girl takes the mouse
A: Yes

",the cat carries mouse the,No,No,"[('the', 0), ('cat', 0.0001129092343035154), ('carries', 0.0006617176695726812), ('mouse', 7.704258314333856e-05), ('the', 8.658058504806831e-05), ('No', 0.005222199950367212)]",0
2,en,"Q: Is this sentence grammatical? Yes or No: the cats eat pear a
A: No

Q: Is this sentence grammatical? Yes or No: the poets read a poem
A: Yes

Q: Is this sentence grammatical? Yes or No: the boy brings bottle a
A: No

Q: Is this sentence grammatical? Yes or No: the dog eats the fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher eats cucumber the
A: No

Q: Is this sentence grammatical? Yes or No: the boys bring the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a man carries a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl eats a banana
A: Yes

Q: Is this sentence grammatical? Yes or No: the women hold toy the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher holds the cup
A: Yes

",the women hold the cap,No,Yes,"[('the', 0), ('women', 0.0001129092343035154), ('hold', 0.00018884625751525164), ('the', 0.00017372793809045106), ('cap', 0.1919940561056137), ('No', 3.256502895965241e-05)]",0
3,en,"Q: Is this sentence grammatical? Yes or No: the girl eats fruit a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers take a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats eat pizza a
A: No

Q: Is this sentence grammatical? Yes or No: the women eat banana the
A: No

Q: Is this sentence grammatical? Yes or No: a girl climbs hill a
A: No

Q: Is this sentence grammatical? Yes or No: a dog climbs a rock
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl eats a banana
A: Yes

Q: Is this sentence grammatical? Yes or No: the men take a bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers read a book
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman carries bulb a
A: No

",the men hold chalk a,Yes,No,"[('the', 0), ('men', 0.00011292043200228363), ('hold', 0.0004262230941094458), ('chalk', 0.0004067350455443375), ('chalk', 0.0004067350455443375), ('a', 0.12111328542232513)]",0
4,en,"Q: Is this sentence grammatical? Yes or No: the girl carries a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a dog brings a toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the cat climbs rock a
A: No

Q: Is this sentence grammatical? Yes or No: the boy brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: the dogs take toy the
A: No

Q: Is this sentence grammatical? Yes or No: the boy climbs the staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: the man climbs the mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: the women carry mouse the
A: No

Q: Is this sentence grammatical? Yes or No: a dog eats the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a cat holds a bottle
A: Yes

",the boys read book the,No,No,"[('the', 0), ('boys', 0.0001129092343035154), ('read', 0.0002904981665778905), ('book', 0.00022690961486659944), ('the', 0.0010169208981096745), ('No', 0.0030279094353318214)]",0
5,en,"Q: Is this sentence grammatical? Yes or No: the cat takes toy the
A: No

Q: Is this sentence grammatical? Yes or No: the girl eats a fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats carry cap a
A: No

Q: Is this sentence grammatical? Yes or No: the girls bring fish the
A: No

Q: Is this sentence grammatical? Yes or No: the girls read a story
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher brings cap the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers take box the
A: No

Q: Is this sentence grammatical? Yes or No: a woman carries cap a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers hold the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys carry the bulb
A: Yes

",the teacher climbs staircase a,No,No,"[('the', 0), ('teacher', 0.00011292043200228363), ('climbs', 0.00019008445451618172), ('climbs', 0.00019008445451618172), ('staircase', 0.9925616948894458), ('staircase', 0.9925616948894458)]",0
6,en,"Q: Is this sentence grammatical? Yes or No: the woman carries a box
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats hold chalk a
A: No

Q: Is this sentence grammatical? Yes or No: the dogs hold bottle a
A: No

Q: Is this sentence grammatical? Yes or No: the girls take a bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls eat fish a
A: No

Q: Is this sentence grammatical? Yes or No: the girls carry a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the men climb rock a
A: No

Q: Is this sentence grammatical? Yes or No: the man brings toy a
A: No

Q: Is this sentence grammatical? Yes or No: the dogs take toy the
A: No

Q: Is this sentence grammatical? Yes or No: the dogs climb a staircase
A: Yes

",the teachers read chapter the,No,No,"[('the', 0), ('teachers', 0.0001129092343035154), ('read', 4.429988257470541e-05), ('chapter', 0.0002660978352651), ('the', 0.0006804027361795306), ('No', 0.0008273676503449678)]",0
7,en,"Q: Is this sentence grammatical? Yes or No: a dog brings the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the men bring mouse a
A: No

Q: Is this sentence grammatical? Yes or No: the girls bring the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher holds the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the women carry cup a
A: No

Q: Is this sentence grammatical? Yes or No: a teacher takes cap the
A: No

Q: Is this sentence grammatical? Yes or No: a boy eats a meal
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher climbs the tree
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs eat the pear
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs bring toy the
A: No

",the cats take newspaper the,No,No,"[('the', 0), ('cats', 0.0001129092343035154), ('take', 1.802594488253817e-05), ('newspaper', 0.0011182872112840414), ('the', 2.1086718788865255e-06), ('No', 0.0018752082251012325)]",0
8,en,"Q: Is this sentence grammatical? Yes or No: the girls eat fruit the
A: No

Q: Is this sentence grammatical? Yes or No: the boys carry chalk a
A: No

Q: Is this sentence grammatical? Yes or No: the women take a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a man climbs roof the
A: No

Q: Is this sentence grammatical? Yes or No: a teacher climbs rock the
A: No

Q: Is this sentence grammatical? Yes or No: a man brings bulb a
A: No

Q: Is this sentence grammatical? Yes or No: the boy brings chalk a
A: No

Q: Is this sentence grammatical? Yes or No: a girl brings cap a
A: No

Q: Is this sentence grammatical? Yes or No: the dog takes chalk a
A: No

Q: Is this sentence grammatical? Yes or No: the boys carry a newspaper
A: Yes

",the girls hold a mouse,Yes,Yes,"[('the', 0), ('girls', 0.0001129092343035154), ('hold', 0.00026167547912336886), ('a', 0.0001205940279760398), ('mouse', 0.07632535696029663), ('Yes', 6.87230858602561e-05)]",0
9,en,"Q: Is this sentence grammatical? Yes or No: the teachers take box the
A: No

Q: Is this sentence grammatical? Yes or No: the girls bring fish the
A: No

Q: Is this sentence grammatical? Yes or No: the boys hold a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the woman holds box the
A: No

Q: Is this sentence grammatical? Yes or No: a man eats the fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman takes a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the author reads a poem
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy brings fish the
A: No

Q: Is this sentence grammatical? Yes or No: the girls bring toy a
A: No

Q: Is this sentence grammatical? Yes or No: a girl brings box the
A: No

",a dog takes the mouse,Yes,Yes,"[('a', 0), ('dog', 0.00015798842650838196), ('takes', 0.00018177941092289984), ('the', 0.0010975536424666643), ('mouse', 0.06202562898397446), ('Yes', 0.00021468113118316978)]",0
