,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: マウスは女優たちを押す
A: No

Q: Is this sentence grammatical? Yes or No: 教師は帽子を触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は打つを新聞
A: No

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優は触るをマウス
A: No

Q: Is this sentence grammatical? Yes or No: 著者たちはを手紙読む
A: No

Q: Is this sentence grammatical? Yes or No: 教授は蹴るを帽子
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは魚を食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソ飲むを
A: No

Q: Is this sentence grammatical? Yes or No: 猫は押すをボトル
A: No

Q: Is this sentence grammatical? Yes or No: 飲むはミルクセーキを医者
A: ",飲むはミルクセーキを医者,No,No,,0
1,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: マウスは女優たちを押す
A: No

Q: Is this sentence grammatical? Yes or No: は教師帽子を触る
A: No

Q: Is this sentence grammatical? Yes or No: 教授は打つを新聞
A: No

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウスを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちはを手紙読む
A: No

Q: Is this sentence grammatical? Yes or No: 教授は帽子を蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは魚を食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソ飲むを
A: No

Q: Is this sentence grammatical? Yes or No: 猫は押すをボトル
A: No

Q: Is this sentence grammatical? Yes or No: 詩は作家たちを読む
A: ",詩は作家たちを読む,No,No,,0
2,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は帽子を触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は打つを新聞
A: No

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウスを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちはを手紙読む
A: No

Q: Is this sentence grammatical? Yes or No: 教授は蹴るを帽子
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは魚を食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソ飲むを
A: No

Q: Is this sentence grammatical? Yes or No: 猫はボトルを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 男性はジュースを飲む
A: ",男性はジュースを飲む,No,Yes,,0
3,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: は教師帽子を触る
A: No

Q: Is this sentence grammatical? Yes or No: 教授は新聞を打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウスを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちはを手紙読む
A: No

Q: Is this sentence grammatical? Yes or No: 教授は帽子を蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは魚を食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソ飲むを
A: No

Q: Is this sentence grammatical? Yes or No: 猫は押すをボトル
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちは魚を押す
A: ",医者たちは魚を押す,Yes,Yes,,0
4,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: マウスは女優たちを押す
A: No

Q: Is this sentence grammatical? Yes or No: 教師は帽子を触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は打つを新聞
A: No

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優は触るをマウス
A: No

Q: Is this sentence grammatical? Yes or No: 著者たちは手紙を読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は帽子を蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは魚を食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫は押すをボトル
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちはを白亜押す
A: ",医者たちはを白亜押す,No,No,,0
5,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: は教師帽子を触る
A: No

Q: Is this sentence grammatical? Yes or No: 教授は新聞を打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優は触るをマウス
A: No

Q: Is this sentence grammatical? Yes or No: 著者たちはを手紙読む
A: No

Q: Is this sentence grammatical? Yes or No: 教授は蹴るを帽子
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは魚を食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫はボトルを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師はお茶を飲む
A: ",教師はお茶を飲む,No,Yes,,0
6,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: は教師帽子を触る
A: No

Q: Is this sentence grammatical? Yes or No: 教授は打つを新聞
A: No

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウスを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちは手紙を読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は帽子を蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちを魚は食べる
A: No

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソ飲むを
A: No

Q: Is this sentence grammatical? Yes or No: 猫はボトルを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: は女の子たち玩具を蹴る
A: ",は女の子たち玩具を蹴る,は,No,,0
7,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は帽子を触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は新聞を打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウスを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちはを手紙読む
A: No

Q: Is this sentence grammatical? Yes or No: 教授は蹴るを帽子
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは魚を食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫はボトルを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴るは帽子を女優たち
A: ",蹴るは帽子を女優たち,No,No,,0
8,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: マウスは女優たちを押す
A: No

Q: Is this sentence grammatical? Yes or No: は教師帽子を触る
A: No

Q: Is this sentence grammatical? Yes or No: 教授は新聞を打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優は触るをマウス
A: No

Q: Is this sentence grammatical? Yes or No: 著者たちはを手紙読む
A: No

Q: Is this sentence grammatical? Yes or No: 教授は蹴るを帽子
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちを魚は食べる
A: No

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫は押すをボトル
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちは新聞を蹴る
A: ",女性たちは新聞を蹴る,No,Yes,,0
9,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は帽子を触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は新聞を打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優は触るをマウス
A: No

Q: Is this sentence grammatical? Yes or No: 著者たちは手紙を読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は帽子を蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちを魚は食べる
A: No

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫はボトルを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは帽子を触る
A: ",弁護士たちは帽子を触る,No,Yes,,0
10,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: は教師帽子を触る
A: No

Q: Is this sentence grammatical? Yes or No: 教授は新聞を打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優は触るをマウス
A: No

Q: Is this sentence grammatical? Yes or No: 著者たちは手紙を読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は蹴るを帽子
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちを魚は食べる
A: No

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫は押すをボトル
A: No

Q: Is this sentence grammatical? Yes or No: 作家は押すを玩具
A: ",作家は押すを玩具,No,No,,0
11,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は帽子を触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は打つを新聞
A: No

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウスを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちは手紙を読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は蹴るを帽子
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちを魚は食べる
A: No

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソ飲むを
A: No

Q: Is this sentence grammatical? Yes or No: 猫は押すをボトル
A: No

Q: Is this sentence grammatical? Yes or No: 教師たち新聞はを蹴る
A: ",教師たち新聞はを蹴る,No,No,,0
12,jap-r-1-sov,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: は教師帽子を触る
A: No

Q: Is this sentence grammatical? Yes or No: 教授は打つを新聞
A: No

Q: Is this sentence grammatical? Yes or No: 章は医者を読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウスを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちはを手紙読む
A: No

Q: Is this sentence grammatical? Yes or No: 教授は帽子を蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは魚を食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソ飲むを
A: No

Q: Is this sentence grammatical? Yes or No: 猫は押すをボトル
A: No

Q: Is this sentence grammatical? Yes or No: 触るは魚を女優
A: ",触るは魚を女優,No,No,,0
